,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
325,290,남구,645,우암동,우암동,블록,7.26,0.13,0.17,280.18,29.53,정상
326,290,남구,640,우암1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
328,290,남구,630,감만2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
330,290,남구,630,감만2동,감만배수지,배수지,7.29,0.17,0.39,-,-,정상
331,290,남구,630,감만2동,감만2동,블록,7.38,0.13,0.20,280.18,29.53,정상
332,290,남구,620,감만1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
334,290,남구,620,감만1동,감만배수지,배수지,7.29,0.17,0.39,-,-,정상
335,290,남구,620,감만1동,감만1동,블록,7.38,0.10,0.20,-,-,정상
336,290,남구,610,용당동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
338,290,남구,610,용당동,감만배수지,배수지,7.29,0.17,0.39,-,-,정상
339,290,남구,600,용호4동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
341,290,남구,600,용호4동,용호2배수지,배수지,6.98,0.14,0.29,-,-,정상
342,290,남구,600,용호4동,용호4동,블록,7.31,0.12,0.20,266.25,29.70,정상
343,290,남구,590,용호3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
345,290,남구,580,용호2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
347,290,남구,580,용호2동,용호2배수지,배수지,6.98,0.14,0.29,-,-,정상
348,290,남구,580,용호2동,용호2동,블록,7.31,0.12,0.20,266.25,29.70,정상
349,290,남구,570,용호1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
351,290,남구,560,대연6동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
352,290,남구,560,대연6동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
354,290,남구,560,대연6동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
355,290,남구,560,대연6동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
356,290,남구,560,대연6동,문현배수지,배수지,7.00,0.07,0.23,273.34,30.41,정상
357,290,남구,550,대연5동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
358,290,남구,550,대연5동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
360,290,남구,550,대연5동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
361,290,남구,550,대연5동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
362,290,남구,550,대연5동,문현배수지,배수지,7.00,0.07,0.23,273.34,30.41,정상
