,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
272,320,북구,573,만덕3동,만덕3동,블록,7.27,0.10,0.29,253.79,28.80,정상
273,320,북구,572,만덕2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
274,320,북구,572,만덕2동,만덕2배수지,배수지,7.23,0.11,0.37,215.45,26.85,정상
275,320,북구,572,만덕2동,만덕5배수지,배수지,6.97,0.09,0.09,-,-,정상
276,320,북구,572,만덕2동,만덕2동,블록,7.33,0.14,0.65,256.97,28.31,정상
277,320,북구,572,만덕2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
278,320,북구,571,만덕1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
279,320,북구,571,만덕1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
280,320,북구,571,만덕1동,만덕1배수지,배수지,7.77,0.11,0.30,290.50,27.85,정상
281,320,북구,571,만덕1동,만덕2배수지,배수지,7.23,0.11,0.37,215.45,26.85,정상
282,320,북구,561,덕천3동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
283,320,북구,560,덕천2동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
284,320,북구,560,덕천2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
285,320,북구,560,덕천2동,만덕1배수지,배수지,7.77,0.11,0.30,290.50,27.85,정상
286,320,북구,550,덕천1동,덕산정수장,정수장,6.70,0.10,1.10,-,-,정상
287,320,북구,550,덕천1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
288,320,북구,550,덕천1동,만덕1배수지,배수지,7.77,0.11,0.30,290.50,27.85,정상
289,320,북구,543,화명3동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
290,320,북구,543,화명3동,금곡배수지,배수지,7.76,0.12,0.36,245.60,27.65,정상
291,320,북구,543,화명3동,화명3동,블록,7.39,0.12,0.38,205.86,28.92,정상
292,320,북구,542,화명2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
293,320,북구,542,화명2동,금곡배수지,배수지,7.76,0.12,0.36,245.60,27.65,정상
